"","id","Ideology","A","Gender","Age","M1","M2","M3","M4","M5","M6","Y"
"136",205,0.5,0,1,19,1,0.5,0.166666666666667,1,0.5,0.505,0.318888888888889
"137",206,-1.5,0,1,18,0.888888888888889,0.555555555555556,0.166666666666667,0.888888888888889,0.666666666666667,0.45,0.333333333333333
"138",207,1.5,0,1,18,0.555555555555556,0.277777777777778,0.0555555555555556,0.888888888888889,0.833333333333333,0.65,0.35
"139",208,-0.5,1,1,19,0.777777777777778,0.388888888888889,0.444444444444444,1,0.333333333333333,0.575,0.45
"140",210,0.5,1,1,18,0.5,0.555555555555556,0.388888888888889,0.5,0.333333333333333,0.71,0.362222222222222
"141",213,0.5,0,1,18,1,0.166666666666667,0.166666666666667,0.888888888888889,0.333333333333333,0.755,0.116666666666667
"142",214,-0.5,0,1,18,1,0.166666666666667,0.166666666666667,0.833333333333333,0.666666666666667,0.5,0.533333333333333
"143",215,0.5,1,1,22,0.388888888888889,0.388888888888889,0.333333333333333,0.5,0.833333333333333,0.375,0.631111111111111
"144",216,-0.5,0,1,19,0.833333333333333,0.222222222222222,0.222222222222222,1,0.666666666666667,0.185,0.438888888888889
"145",219,-1.5,1,1,20,0.666666666666667,0.555555555555556,0.388888888888889,0.666666666666667,0.833333333333333,0.48,0.6
"146",220,-2.5,0,1,22,0.5,0.388888888888889,0.5,0.666666666666667,1,0.125,0.822222222222222
"147",221,-0.5,1,1,20,0.833333333333333,0.5,0.166666666666667,0.833333333333333,0.5,0.81,0.122222222222222
"148",223,0.5,0,0,21,0.333333333333333,0.833333333333333,0.277777777777778,0.666666666666667,0.666666666666667,1,0
"149",224,-0.5,1,0,18,0.944444444444444,0.611111111111111,0.555555555555556,1,0.666666666666667,0.87,0.205555555555556
"150",226,-1.5,0,1,22,0.888888888888889,0.555555555555556,0.166666666666667,1,0.666666666666667,0.525,0.501111111111111
"151",227,-1.5,1,1,18,0.444444444444444,0.611111111111111,0.222222222222222,0.5,0.666666666666667,0.47,0.382222222222222
"152",228,-0.5,1,1,18,0.555555555555556,0.166666666666667,0.111111111111111,0.722222222222222,0.666666666666667,0.345,0.612222222222222
"153",230,0.5,0,0,23,0.722222222222222,0,0,0.555555555555556,0.166666666666667,0.55,0.388888888888889
"154",231,-1.5,1,0,25,0.888888888888889,0.555555555555556,0.5,0.888888888888889,0.833333333333333,0.425,0.594444444444444
"155",232,-0.5,0,1,21,1,0.5,0.222222222222222,1,0.666666666666667,0.4,0.205555555555556
"156",235,-0.5,1,0,19,0.333333333333333,0,0.111111111111111,0.611111111111111,0.666666666666667,0.875,0.244444444444444
"157",236,-0.5,1,0,23,0.944444444444444,0.611111111111111,0.333333333333333,0.944444444444444,0.5,0.635,0.388888888888889
"158",237,-0.5,0,0,20,0.888888888888889,0.388888888888889,0.388888888888889,0.944444444444444,0.166666666666667,0.35,0.658888888888889
"159",239,-0.5,0,1,21,0.833333333333333,0.333333333333333,0.5,1,0.333333333333333,0.6,0.384444444444444
"160",240,-1.5,1,1,18,0.722222222222222,0.444444444444444,0.388888888888889,0.722222222222222,0.666666666666667,0.665,0.566666666666667
"161",243,0.5,1,1,18,0.333333333333333,0.444444444444444,0.166666666666667,0.5,0.333333333333333,0.62,0.572222222222222
"162",244,-0.5,0,1,25,0.944444444444444,0.388888888888889,0.222222222222222,0.888888888888889,0.5,0.425,0.717777777777778
"163",245,-0.5,0,1,19,0.944444444444444,0.333333333333333,0.166666666666667,0.944444444444444,1,0.09,0.762222222222222
"164",247,-1.5,1,1,19,1,0.333333333333333,0.333333333333333,1,0.333333333333333,0.55,0.378888888888889
"165",249,0.5,0,1,18,0.944444444444444,0.666666666666667,0.388888888888889,1,0.666666666666667,0.825,0.05
"166",250,-0.5,0,1,21,1,0.555555555555556,0.555555555555556,1,0.5,0.8,0.531111111111111
"167",251,-0.5,0,0,19,1,0.611111111111111,0.277777777777778,1,0.5,0.375,0.322222222222222
"168",252,-1.5,1,1,20,0.888888888888889,0.833333333333333,0.333333333333333,1,0.666666666666667,0.75,0.193333333333333
"169",253,-1.5,1,1,20,0.611111111111111,0.5,0.333333333333333,0.611111111111111,0.666666666666667,0.555,0.337777777777778
"170",256,0.5,0,1,21,0.555555555555556,0.722222222222222,0.722222222222222,0.666666666666667,0.666666666666667,0.71,0.311111111111111
"171",257,-0.5,1,1,21,0.277777777777778,0.333333333333333,0.222222222222222,0.611111111111111,0.166666666666667,0.785,0.371111111111111
"172",259,-0.5,0,0,18,0.888888888888889,0.666666666666667,0.5,1,0.666666666666667,0.51,0.333333333333333
"173",263,0.5,1,1,21,0.944444444444444,0.722222222222222,0.333333333333333,1,0.166666666666667,0.905,0.166666666666667
"174",264,0.5,0,1,19,1,0.666666666666667,0.277777777777778,0.888888888888889,0.666666666666667,0.91,0.05
"175",265,-0.5,1,0,23,0.777777777777778,0.555555555555556,0.333333333333333,0.944444444444444,0.666666666666667,0.78,0.248888888888889
"176",266,0.5,0,1,19,1,0.833333333333333,0.444444444444444,1,0.666666666666667,0.525,0.238888888888889
"177",267,0.5,0,1,20,0.888888888888889,0.611111111111111,0.555555555555556,0.833333333333333,0.5,0.605,0.26
"178",269,-0.5,0,0,21,0.611111111111111,0.388888888888889,0.333333333333333,0.722222222222222,0.666666666666667,0.3,0.561111111111111
"179",270,0.5,1,1,19,0.611111111111111,0.444444444444444,0.388888888888889,0.5,0.666666666666667,0.825,0.09
"180",272,-1.5,1,0,18,0.833333333333333,0.722222222222222,0.5,1,1,0.4,0.678888888888889
"181",275,-0.5,0,1,18,0.333333333333333,0.277777777777778,0.222222222222222,0.388888888888889,0.5,0.5,0.333333333333333
"182",276,-1.5,0,0,24,0.833333333333333,0.555555555555556,0.611111111111111,0.888888888888889,0.833333333333333,0.3,0.827777777777778
"183",277,1.5,1,1,23,0.888888888888889,0.388888888888889,0.111111111111111,1,1,0.235,0.4
